ID,carat,cut,color,clarity,depth,table,price,x,y,z
30418,0.31,Ideal,E,VS1,60.7,57,733,4.37,4.4,2.66
30419,1.11,Premium,H,VS2,61.1,59,6527,6.66,6.63,4.06
30420,1.5,Very Good,H,SI1,61.6,57,9523,7.26,7.35,4.5
30421,0.31,Ideal,F,VS1,60.7,56,695,4.37,4.39,2.66
30422,1.02,Premium,G,VVS2,62.6,59,7741,6.46,6.41,4.03
30423,1.01,Very Good,I,VS2,62.3,60,4666,6.33,6.41,3.97
30424,1.01,Premium,E,VVS2,61.8,59,9711,6.42,6.39,3.96
30425,0.32,Ideal,E,VS2,62.1,56,900,4.43,4.4,2.74
30426,0.24,Very Good,D,VS1,61.4,58,419,3.99,4.02,2.46
30427,0.51,Premium,D,VS1,60,58,2203,5.19,5.14,3.1
30428,0.37,Premium,F,VS2,61.2,60,957,4.63,4.59,2.82
30429,2.09,Ideal,H,SI2,62,59,15589,8.15,8.2,5.07
30430,0.51,Ideal,D,VS2,61.2,55,1787,5.16,5.18,3.16
30431,0.33,Ideal,D,VS2,61.8,56,781,4.45,4.48,2.76
30432,0.35,Ideal,H,VVS2,59.2,56,706,4.6,4.65,2.74
30433,1,Good,G,SI1,62.2,63,5483,6.36,6.41,3.97
30434,0.57,Ideal,D,VS1,61.6,55,2043,5.33,5.39,3.3
30435,0.51,Ideal,D,SI2,60.9,56,1383,5.18,5.2,3.16
30436,2.23,Premium,J,SI1,62.1,59,13069,8.29,8.33,5.16
30437,1.07,Good,H,VS2,63.8,57,5758,6.54,6.47,4.15
30438,1.11,Ideal,F,VS2,61.8,56,9057,6.66,6.7,4.13
30439,0.8,Premium,H,SI1,62.5,59,2553,5.96,5.91,3.71
30440,0.54,Ideal,G,VVS2,61.5,57,2060,5.21,5.26,3.22
30441,0.42,Ideal,F,SI1,61.6,56,760,4.81,4.85,2.98
30442,0.52,Ideal,H,VVS1,61,56,1748,5.17,5.21,3.17
30443,0.71,Fair,G,SI2,64.4,58,2300,5.59,5.56,3.59
30444,0.32,Premium,I,VS1,61,60,648,4.47,4.42,2.71
30445,0.51,Ideal,G,VS1,61.8,56,1852,5.1,5.15,3.17
30446,1.33,Premium,E,SI2,62.5,58,7090,7.03,6.99,4.38
30447,0.9,Very Good,D,SI1,62.4,63,3997,6.18,6.15,3.85
30448,0.53,Very Good,D,VVS2,61.1,55,2472,5.22,5.28,3.21
30449,0.9,Very Good,F,VS1,62.4,59,4961,6.1,6.15,3.82
30450,1.04,Ideal,G,VS2,62.5,57,6589,6.46,6.49,4.05
30451,0.42,Ideal,D,VVS2,62.1,55,1389,4.81,4.78,2.98
30452,0.52,Ideal,D,VS2,61.8,56,1919,5.17,5.15,3.19
30453,1.52,Very Good,F,SI2,62.1,58,9552,7.26,7.34,4.53
30454,1,Premium,F,VS2,62.2,57,6296,6.43,6.4,3.99
30455,1.68,Premium,I,SI1,61.5,59,10151,7.63,7.58,4.68
30456,1.22,Premium,H,SI1,62.4,58,6153,6.82,6.77,4.24
30457,0.52,Ideal,G,VVS2,62.1,56,1911,5.14,5.17,3.2
30458,0.36,Ideal,D,VVS2,60.7,56,971,4.59,4.63,2.8
30459,0.97,Good,I,VS2,64.5,61,4355,6.16,6.21,3.99
30460,0.4,Good,E,SI1,63.5,57,687,4.7,4.72,2.99
30461,0.75,Ideal,D,SI1,62.3,57,2903,5.83,5.8,3.62
30462,1.36,Good,F,SI1,57.5,60,7197,7.36,7.31,4.22
30463,0.52,Good,F,SI1,63.8,56,1338,5.12,5.07,3.25
30464,0.83,Ideal,F,SI1,60.7,57,3290,6.02,6.1,3.68
30465,0.5,Ideal,G,VS2,61.6,55,1400,5.11,5.14,3.16
30466,1.74,Premium,G,VS1,61.7,58,17904,7.78,7.69,4.77
30467,1.07,Ideal,D,SI2,61.4,56,4513,6.55,6.58,4.03
30468,0.3,Very Good,E,VS2,61.9,61,658,4.28,4.32,2.66
30469,0.4,Good,G,SI2,63.2,56,596,4.7,4.73,2.98
30470,1.14,Ideal,G,VS1,61.4,57,8346,6.75,6.81,4.16
30471,0.71,Ideal,G,VS1,62.4,57,2950,5.68,5.73,3.56
30472,2.11,Ideal,H,SI2,60,56,12226,8.43,8.35,5.03
30473,1.2,Ideal,D,SI1,62.7,55,7761,6.71,6.79,4.23
30474,0.93,Ideal,E,SI1,61.9,55,4511,6.26,6.31,3.89
30475,0.42,Ideal,E,VS2,60.9,57,902,4.85,4.87,2.96
30476,0.33,Premium,G,VVS2,60.6,58,752,4.47,4.5,2.72
30477,1.02,Very Good,F,SI1,63,58,4594,6.36,6.4,4.02
30478,0.32,Premium,E,VS2,62.6,58,900,4.4,4.36,2.74
30479,0.31,Very Good,H,SI1,59,57,446,4.4,4.44,2.61
30480,0.54,Ideal,D,VS2,61.1,57,1993,5.29,5.19,3.2
30481,0.91,Premium,D,SI2,62.2,59,4123,6.19,6.23,3.86
30482,0.9,Good,H,SI1,64.4,58,3465,6.04,6.08,3.9
30483,0.39,Good,G,VVS1,61.6,61,1041,4.71,4.74,2.91
30484,0.31,Ideal,E,VS1,61.1,54,692,4.37,4.4,2.68
30485,0.25,Very Good,F,VVS1,62.9,55,633,4.04,4.06,2.55
30486,0.32,Premium,I,SI1,61.1,59,540,4.42,4.38,2.69
30487,1.04,Premium,G,SI2,62.9,58,4277,6.47,6.43,4.06
30488,0.7,Ideal,E,SI1,62.8,55,2677,5.65,5.69,3.56
30489,1,Very Good,G,VS2,63.1,58,5723,6.39,6.31,4.01
30490,0.56,Ideal,G,VVS1,62,56,2202,5.28,5.3,3.28
30491,0.96,Very Good,F,SI2,59.8,59,4218,6.38,6.45,3.84
30492,1.15,Premium,E,SI2,61.8,56,4701,6.75,6.7,4.15
30493,0.55,Very Good,I,VS2,61,57,1224,5.31,5.32,3.24
30494,0.35,Ideal,F,IF,60.9,55,1312,4.58,4.61,2.8
30495,0.5,Ideal,H,SI1,61.8,56,1035,5.1,5.12,3.16
30496,0.9,Very Good,H,VS2,62.6,58,3989,6.14,6.22,3.87
30497,0.41,Ideal,F,VS2,60.8,56,863,4.8,4.81,2.92
30498,1.14,Ideal,I,VS1,61.7,53,5863,6.75,6.77,4.17
30499,1.7,Ideal,H,SI2,62.1,57,7273,7.68,7.63,4.75
30500,1.03,Ideal,J,SI1,61.6,57,4175,6.46,6.49,3.99
30501,1.2,Ideal,D,VS1,61,59,11053,6.79,6.85,4.16
30502,0.33,Ideal,F,VVS2,62.4,55,750,4.43,4.45,2.77
30503,0.5,Premium,J,VS1,62.4,61,1035,4.98,4.96,3.1
30504,1.16,Ideal,G,SI2,61.6,55,5078,6.78,6.8,4.18
30505,0.7,Ideal,D,SI2,62.1,55,2553,5.68,5.73,3.54
30506,0.37,Very Good,E,VS2,58.9,61,811,4.66,4.68,2.75
30507,1.11,Premium,D,I1,61.9,58,3655,6.66,6.63,4.11
30508,0.3,Premium,H,VS1,62.6,59,675,4.3,4.26,2.68
30509,0.55,Ideal,H,IF,61.5,55,2120,5.25,5.29,3.25
30510,1.51,Very Good,H,SI2,62.3,58,9107,7.31,7.35,4.57
30511,1.01,Ideal,E,SI2,61.1,57,4751,6.52,6.48,3.97
30512,0.29,Very Good,E,VVS1,60.9,61,629,4.23,4.27,2.59
30513,0.42,Ideal,D,VVS2,62.6,56,1389,4.79,4.77,2.99
30514,0.3,Premium,D,VS2,61.7,58,911,4.32,4.3,2.66
30515,0.72,Ideal,G,VS1,61.3,56,3478,5.75,5.8,3.54
30516,0.6,Premium,E,VS2,59.3,60,2124,5.51,5.46,3.25
30517,0.31,Ideal,H,VVS1,61.5,54,907,4.39,4.36,2.69
30518,0.31,Premium,E,VVS1,61.5,58,924,4.35,4.37,2.68
30519,0.31,Ideal,H,IF,62.2,54,789,4.38,4.4,2.73
30520,0.39,Very Good,G,VS1,62.4,57,855,4.62,4.68,2.9
30521,0.3,Ideal,I,VS2,62.1,58,389,4.27,4.29,2.66
30522,0.3,Premium,E,SI1,62.5,60,675,4.27,4.24,2.66
30523,0.45,Good,H,VVS1,56.8,64,1180,5.08,4.99,2.86
30524,0.92,Ideal,I,SI1,61.7,56,4457,6.2,6.23,3.83
30525,0.9,Ideal,H,SI1,61.1,58,3967,6.24,6.19,3.79
30526,0.72,Ideal,E,SI1,62.7,55,2886,5.64,5.69,3.55
30527,1.51,Good,H,VS2,63.5,60,10628,7.24,7.27,4.61
30528,1.5,Premium,H,SI1,62.7,58,9768,7.27,7.34,4.58
30529,0.35,Premium,H,VVS2,62.7,58,706,4.46,4.5,2.81
30530,0.32,Ideal,G,VS1,61.6,55,665,4.43,4.5,2.75
30531,0.51,Good,H,SI2,56.7,60,1060,5.38,5.35,3.04
30532,1.13,Ideal,H,SI1,61.3,57,4556,6.72,6.7,4.11
30533,1.04,Ideal,H,VS1,62.7,55,5577,6.43,6.49,4.05
30534,0.51,Ideal,G,SI1,61.7,54,1237,5.14,5.2,3.19
30535,0.35,Ideal,F,SI1,62.2,56,583,4.48,4.52,2.8
30536,0.3,Very Good,H,VVS2,63,56,581,4.24,4.27,2.68
30537,1.01,Premium,E,IF,62.6,58,11491,6.44,6.37,4.01
30538,0.72,Ideal,D,VS2,61.8,57,3099,5.76,5.73,3.55
30539,0.32,Very Good,H,VVS2,62.1,58,645,4.34,4.39,2.71
30540,2.2,Ideal,G,SI2,59.9,57,14691,8.54,8.49,5.1
30541,0.71,Premium,H,SI2,60.5,60,2224,5.81,5.73,3.49
30542,1.07,Ideal,F,SI2,61.5,55,5240,6.56,6.62,4.05
30543,0.38,Ideal,G,SI2,62,55,532,4.66,4.69,2.9
30544,1.7,Very Good,H,SI2,60.8,56,10255,7.67,7.72,4.68
30545,1.1,Premium,E,SI1,60,58,4472,6.68,6.65,4.05
30546,0.29,Very Good,G,VVS2,60.9,57,541,4.28,4.32,2.61
30547,1.13,Ideal,H,SI2,61.6,55,4911,6.68,6.72,4.13
30548,0.37,Premium,D,SI1,62.7,58,681,4.55,4.58,2.86
30549,0.7,Premium,F,SI1,59.5,57,2596,5.81,5.79,3.45
30550,0.3,Premium,G,VVS1,60.5,59,789,4.33,4.36,2.63
30551,0.42,Ideal,G,VVS2,62.4,55,1031,4.79,4.82,3
30552,0.41,Ideal,E,VS1,61.6,54,1004,4.77,4.8,2.95
30553,0.3,Ideal,F,IF,61.4,57,886,4.34,4.36,2.67
30554,1.11,Fair,E,SI2,64.7,61,4873,6.42,6.39,4.14
30555,1.01,Premium,G,SI1,62.2,58,5006,6.42,6.4,3.99
30556,0.3,Premium,G,VVS2,62.7,56,878,4.31,4.24,2.68
30557,0.3,Premium,G,VS1,60,60,776,4.33,4.3,2.59
30558,0.29,Very Good,G,VS2,61.9,55,471,4.25,4.28,2.64
30559,0.72,Ideal,J,VS1,62.3,55,1832,5.77,5.69,3.57
30560,0.35,Ideal,E,VS2,63.5,54,722,4.48,4.43,2.83
30561,0.41,Ideal,G,VS1,61.4,55,899,4.78,4.8,2.94
30562,1.01,Very Good,J,SI1,58.9,59,3952,6.56,6.62,3.88
30563,0.3,Very Good,G,VVS1,63.4,56,1013,4.31,4.27,2.72
30564,0.6,Ideal,F,VS1,61.9,55,2201,5.4,5.42,3.35
30565,1.12,Ideal,G,I1,60.3,57,3945,6.8,6.73,4.08
30566,0.32,Premium,G,VS2,62.3,58,561,4.36,4.41,2.73
30567,0.57,Premium,E,VS1,61.6,58,2753,5.36,5.33,3.29
30568,1.23,Premium,J,VS1,60.1,60,5304,6.95,6.9,4.16
30569,1.01,Ideal,G,SI1,60.8,56,5204,6.53,6.49,3.96
30570,1.02,Very Good,E,SI2,63.6,59,3947,6.23,6.28,3.98
30571,0.3,Ideal,D,SI1,61.7,57,524,4.28,4.31,2.65
30572,1.01,Premium,H,VS1,61.1,58,5515,6.48,6.45,3.95
30573,1.01,Very Good,I,SI1,63.5,59,4412,6.36,6.31,4.02
30574,0.41,Very Good,F,VVS1,63.3,55,1143,4.7,4.74,2.99
30575,0.31,Ideal,E,VS2,61.7,55,872,4.39,4.36,2.7
30576,1.01,Premium,H,VS2,61.2,59,4959,6.45,6.47,3.95
30577,0.33,Ideal,G,VVS2,61.5,56,752,4.45,4.49,2.75
30578,1.08,Very Good,G,VVS2,63.1,56,7862,6.58,6.51,4.13
30579,1.26,Very Good,G,VVS2,62.1,58,9158,6.92,6.83,4.27
30580,0.27,Very Good,E,VVS2,61.2,60,606,4.16,4.17,2.55
30581,0.34,Ideal,E,SI1,60.4,57,723,4.53,4.55,2.74
30582,0.53,Ideal,G,SI2,61.6,55,1171,5.2,5.25,3.22
30583,2.03,Ideal,F,SI2,63.3,55,18458,7.96,8.05,5.08
30584,1.5,Fair,G,VS2,66.2,53,10644,7.12,7.08,4.7
30585,0.32,Premium,F,SI1,59.3,58,684,4.5,4.47,2.66
30586,0.32,Good,D,SI2,63.4,56,477,4.36,4.38,2.77
30587,0.27,Ideal,G,VS2,61.5,55,490,4.18,4.21,2.58
30588,0.55,Premium,G,SI2,61.8,56,1280,5.28,5.23,3.25
30589,1.13,Ideal,G,VS2,62.7,57,6525,6.65,6.68,4.18
30590,0.31,Ideal,D,VS1,60.5,55,683,4.39,4.43,2.67
30591,1.05,Ideal,F,VS2,62.8,57,6933,6.48,6.45,4.06
30592,1.04,Ideal,F,IF,61.8,55,10984,6.56,6.49,4.03
30593,0.33,Premium,G,SI2,62.6,58,434,4.4,4.42,2.76
30594,0.74,Ideal,H,VS2,62.2,55,3178,5.83,5.81,3.62
30595,0.5,Ideal,J,VS2,62.5,53,915,5.09,5.12,3.19
30596,2.05,Premium,D,SI1,60.4,58,17776,8.26,8.16,4.96
30597,0.29,Ideal,H,VS1,62.4,54,464,4.23,4.26,2.65
30598,0.8,Premium,I,VS2,62.9,61,2616,5.84,5.77,3.65
30599,0.39,Ideal,G,SI1,61.3,54,748,4.73,4.77,2.91
30600,1.29,Premium,F,SI1,62.5,60,7730,6.97,6.91,4.34
30601,0.36,Fair,F,VS1,55.3,67,810,4.79,4.72,2.63
30602,0.3,Premium,I,VS1,59.1,59,473,4.35,4.38,2.58
30603,0.39,Very Good,H,VVS2,62.4,57,784,4.67,4.7,2.92
30604,1.03,Premium,E,SI2,61.8,56,4730,6.5,6.47,4.01
30605,0.31,Premium,D,SI1,60.9,60,571,4.38,4.39,2.67
30606,1,Very Good,H,VS2,63.3,53,5000,6.42,6.37,4.05
30607,0.52,Ideal,G,VVS2,62.1,57,1932,5.15,5.13,3.19
30608,0.79,Premium,H,SI2,61.6,58,1998,5.98,5.94,3.67
30609,0.53,Very Good,F,IF,59.6,58,2395,5.28,5.32,3.16
30610,0.71,Premium,E,SI1,60.8,60,2629,5.75,5.69,3.48
30611,1.41,Ideal,G,VS1,60.4,57,11009,7.22,7.31,4.39
30612,0.32,Ideal,D,SI1,62.6,55,589,4.36,4.39,2.74
30613,0.3,Very Good,G,SI1,62.5,56,432,4.27,4.3,2.68
30614,0.33,Ideal,F,VS2,61.6,56,854,4.46,4.44,2.74
30615,0.57,Ideal,H,IF,61,57,2210,5.35,5.38,3.27
30616,2.01,Fair,G,I1,70.2,57,6315,7.53,7.5,5.27
30617,0.91,Very Good,D,SI2,58.3,60,3573,6.33,6.4,3.71
30618,1.08,Premium,G,VS2,59.4,59,6415,6.68,6.75,3.99
30619,2.01,Ideal,J,SI1,62.8,58,9725,8.02,7.97,5.02
30620,0.52,Ideal,D,VS2,61.8,55,1822,5.16,5.19,3.2
30621,1.04,Ideal,G,SI2,63.1,55,4414,6.45,6.52,4.09
30622,0.57,Ideal,H,VVS1,60.9,56,2052,5.38,5.36,3.27
30623,0.32,Ideal,J,VS1,62,54.7,442,4.39,4.42,2.73
30624,0.3,Ideal,G,VS2,62.5,53,675,4.3,4.27,2.68
30625,1.17,Ideal,G,SI2,61.1,56,4725,6.8,6.86,4.17
30626,1.01,Fair,G,SI2,64.7,58,3856,6.14,6.23,4
30627,2.2,Premium,J,SI2,60.9,60,13065,8.42,8.34,5.1
30628,0.7,Good,F,VS1,59.1,62,2877,5.82,5.86,3.44
30629,0.3,Ideal,E,VS1,61.6,57,936,4.33,4.3,2.66
30630,0.41,Ideal,D,SI1,62.7,56,791,4.73,4.78,2.98
30631,0.7,Very Good,F,SI1,60,58,2553,5.75,5.79,3.46
30632,0.35,Very Good,E,VS1,59.7,59,790,4.59,4.62,2.75
30633,0.51,Ideal,D,VS2,61.7,55,1787,5.11,5.14,3.16
30634,0.3,Ideal,D,VS2,60.8,57,710,4.31,4.34,2.63
30635,0.9,Very Good,F,SI1,63.1,56,4103,6.17,6.12,3.88
30636,0.9,Premium,G,SI1,61.3,60,3774,6.17,6.14,3.77
30637,0.35,Premium,H,SI1,60,61,630,4.6,4.57,2.75
30638,1,Premium,F,SI1,59,59,4144,6.55,6.5,3.85
30639,0.3,Premium,I,VS1,59.1,59,608,4.38,4.35,2.58
30640,0.33,Premium,D,SI2,60.7,56,631,4.46,4.43,2.7
30641,1.07,Ideal,H,SI2,62.8,56,4899,6.5,6.56,4.1
30642,1.07,Ideal,G,SI2,62.4,57,4419,6.56,6.58,4.1
30643,0.58,Very Good,H,SI1,62.1,55,1239,5.35,5.38,3.33
30644,0.41,Ideal,F,IF,61.4,58,1439,4.78,4.83,2.95
30645,1.5,Ideal,G,VS2,62.6,56,12468,7.3,7.26,4.56
30646,1.01,Very Good,F,VS2,58.5,60,6037,6.52,6.54,3.82
30647,0.42,Ideal,I,VS2,61.4,56,1081,4.83,4.85,2.97
30648,0.59,Ideal,D,SI1,62.1,56,1684,5.36,5.4,3.34
30649,2.02,Premium,F,SI2,61,59,11962,8.2,8.13,4.98
30650,1.03,Premium,H,VS2,60.9,58,5364,6.55,6.48,3.97
30651,1.09,Very Good,E,SI2,60.9,59,5035,6.61,6.75,4.07
30652,0.84,Very Good,E,SI2,62.1,58,3125,6.02,6.09,3.76
30653,0.53,Premium,D,SI1,60,58,1753,5.29,5.24,3.16
30654,0.52,Good,G,VS1,63.3,55,1689,5.09,5.12,3.23
30655,0.74,Very Good,E,SI2,63.1,57,2617,5.8,5.76,3.65
30656,0.44,Ideal,I,VS1,61.4,55,1245,4.89,4.92,3.01
30657,1.58,Premium,G,VS2,58.2,58,11786,7.68,7.64,4.46
30658,0.24,Ideal,G,IF,61.3,57,559,4,4.03,2.46
30659,0.6,Ideal,F,VVS2,61.5,57,3196,5.42,5.45,3.34
30660,0.31,Premium,G,SI1,63,58,593,4.34,4.3,2.72
30661,0.54,Ideal,H,SI1,62.5,56,1147,5.2,5.23,3.26
30662,0.51,Premium,H,SI2,62.9,56,1125,5.08,5.06,3.19
30663,1.21,Very Good,H,SI1,62.8,56,6022,6.8,6.83,4.28
30664,0.7,Very Good,H,SI2,61.6,56.1,2306,5.72,5.77,3.53
30665,0.31,Premium,F,VS2,61.2,58,625,4.35,4.37,2.67
30666,0.41,Ideal,F,VS2,61,57,1107,4.81,4.76,2.92
30667,0.35,Very Good,H,SI1,61,62,491,4.52,4.56,2.77
30668,0.43,Good,E,SI1,60.6,61,723,4.96,4.98,3.01
30669,0.3,Ideal,E,SI1,61.9,57,526,4.29,4.33,2.67
30670,0.31,Ideal,D,VS1,61.6,54,696,4.33,4.37,2.68
30671,0.34,Ideal,D,VS2,61.4,56,805,4.5,4.53,2.77
30672,0.82,Very Good,D,SI1,61.3,56,3593,6.02,6.06,3.7
30673,1.19,Very Good,D,SI2,63.5,57,5562,6.67,6.75,4.26
30674,0.31,Ideal,J,VS2,61.8,54.1,400,4.35,4.38,2.7
30675,0.57,Ideal,G,VS1,62.1,56,1868,5.31,5.34,3.3
30676,2.19,Ideal,I,SI2,61.5,57,15509,8.31,8.44,5.15
30677,0.52,Good,G,VS1,63.9,56,1576,5.08,5.12,3.26
30678,0.31,Ideal,F,VVS1,61.9,55,801,4.37,4.42,2.72
30679,0.35,Ideal,H,IF,60.5,56,984,4.59,4.56,2.77
30680,0.4,Very Good,F,VS1,61.5,59,982,4.71,4.76,2.91
30681,0.9,Premium,E,VS2,62.9,58,4334,6.15,6.12,3.86
30682,0.72,Ideal,G,VS1,62.7,55,2724,5.71,5.68,3.57
30683,0.75,Ideal,F,VS2,62.3,57,2933,5.81,5.87,3.64
30684,0.42,Very Good,G,VS1,60.6,58,921,4.82,4.95,2.96
30685,1.01,Premium,H,SI2,61.9,60,4242,6.43,6.4,3.97
30686,0.77,Ideal,I,VVS2,62.1,57,2824,5.84,5.86,3.63
30687,0.54,Ideal,H,SI1,62.1,56,1178,5.18,5.26,3.24
30688,1.51,Premium,F,SI1,62.2,59,11607,7.34,7.3,4.55
30689,0.58,Ideal,D,VVS1,61.6,60,3154,5.34,5.35,3.29
30690,0.9,Premium,H,VS1,60.2,58,4234,6.32,6.28,3.79
30691,0.48,Premium,F,VS2,61.3,60,1279,5.01,4.97,3.06
30692,1.5,Premium,D,SI2,59.9,60,10090,7.48,7.41,4.46
30693,0.54,Ideal,G,SI1,61.8,58,1350,5.21,5.27,3.24
30694,0.9,Very Good,E,VVS2,62.2,60,6289,6.04,6.12,3.78
30695,0.24,Very Good,E,VS2,61.7,57,461,3.99,4.02,2.47
30696,0.3,Ideal,E,VS2,62.4,57,844,4.33,4.29,2.69
30697,0.42,Ideal,D,VS1,61.4,55,1075,4.9,4.8,2.98
30698,0.7,Very Good,I,SI2,63.2,60,1672,5.62,5.55,3.53
30699,0.33,Very Good,J,VS1,62.8,58,434,4.38,4.41,2.76
30700,0.72,Very Good,J,SI1,58.3,62,1886,5.87,5.93,3.44
30701,0.77,Ideal,D,SI2,60.6,56,2973,5.9,5.95,3.59
30702,0.7,Ideal,I,SI1,61.9,58,2110,5.66,5.68,3.51
30703,1.13,Good,F,SI2,64,58,3952,6.52,6.58,4.19
30704,0.38,Premium,E,VS2,59.2,60,1112,4.77,4.73,2.81
30705,0.35,Premium,G,VS1,61.5,58,706,4.5,4.54,2.78
30706,0.3,Ideal,G,VS1,62.5,57,605,4.29,4.32,2.69
30707,1.13,Premium,G,I1,61.2,58,3746,6.77,6.66,4.11
30708,0.7,Very Good,H,VVS1,63.5,58,2682,5.63,5.59,3.56
30709,0.56,Premium,D,VS2,61.5,58,1910,5.28,5.33,3.26
30710,0.54,Ideal,H,VS1,61.2,55,1454,5.25,5.31,3.23
30711,0.55,Premium,F,SI1,60.1,58,1374,5.34,5.3,3.2
30712,0.3,Premium,D,VVS2,62.4,58,965,4.3,4.26,2.67
30713,0.38,Ideal,D,VVS2,61.4,57,1070,4.66,4.72,2.88
30714,1.75,Premium,I,VS1,60.6,60,12529,7.84,7.8,4.74
30715,1,Premium,G,IF,62.2,61,7822,6.41,6.38,3.98
30716,1.21,Ideal,H,SI2,62,54.5,5814,6.81,6.87,4.25
30717,1.19,Ideal,H,VS1,62.1,54,7181,6.8,6.83,4.23
30718,1,Premium,G,VS1,58.6,61,6989,6.57,6.5,3.83
30719,1.5,Premium,J,SI2,61.4,61,6750,7.36,7.3,4.5
30720,1,Good,D,SI1,64.2,60,5093,6.22,6.28,4.01
30721,1.66,Very Good,E,SI1,61.7,58,12818,7.52,7.59,4.66
30722,0.47,Good,E,SI2,56.5,62,844,5.17,5.09,2.9
30723,0.31,Good,H,SI1,63.6,57,446,4.32,4.33,2.75
30724,0.9,Ideal,E,VS2,62.1,57,4419,6.15,6.18,3.83
30725,0.41,Premium,E,VS2,61.3,58,999,4.79,4.74,2.92
30726,0.7,Very Good,I,VS2,61.8,59,2200,5.67,5.73,3.52
30727,0.3,Ideal,G,VVS2,62.2,57,655,4.25,4.3,2.66
30728,1.03,Ideal,H,I1,61.5,57,3172,6.48,6.52,4
30729,0.26,Ideal,H,VS1,62.2,54,482,4.09,4.11,2.55
30730,0.53,Ideal,D,IF,61.5,54,3517,5.27,5.21,3.22
30731,0.58,Ideal,E,SI2,62.7,56,1234,5.29,5.34,3.33
30732,0.42,Ideal,E,VVS1,61.8,56,1176,4.81,4.83,2.98
30733,0.37,Good,G,SI2,63.3,55,487,4.58,4.61,2.91
30734,0.42,Premium,G,VS2,62,58,1087,4.81,4.77,2.97
30735,0.58,Ideal,F,VS2,60.2,57,1706,5.43,5.48,3.28
30736,0.26,Very Good,F,VVS1,61.2,60,591,4.13,4.14,2.53
30737,0.3,Ideal,D,VS2,60.8,57,911,4.34,4.31,2.63
30738,0.59,Very Good,F,VS2,62.9,55,1622,5.32,5.39,3.37
30739,0.32,Ideal,G,VS2,61.8,55,720,4.43,4.41,2.73
30740,1.58,Premium,D,SI1,62.7,60,13995,7.41,7.37,4.63
30741,0.7,Premium,E,SI1,62.7,59,2777,5.67,5.63,3.54
30742,0.42,Ideal,G,SI2,62.3,55,686,4.8,4.83,3
30743,0.91,Very Good,E,SI2,63,56,3772,6.12,6.16,3.87
30744,1,Premium,G,SI1,60.8,58,4816,6.48,6.45,3.93
30745,2.01,Very Good,E,SI1,60.8,59,16956,8.14,8.2,4.97
30746,0.9,Very Good,F,SI1,63.1,58,3881,6.18,6.12,3.88
30747,0.3,Ideal,F,VS2,60.9,56,573,4.35,4.39,2.66
