ID,carat,cut,color,clarity,depth,table,price,x,y,z
93,1.01,Ideal,F,VS1,62,57,7465,6.39,6.45,3.98
94,0.38,Premium,G,VS1,61.9,59,1069,4.67,4.63,2.88
95,0.28,Very Good,E,VVS2,60.1,62,572,4.25,4.27,2.56
96,1.51,Very Good,F,SI1,60.7,60,11560,7.39,7.43,4.5
97,0.4,Premium,E,SI1,62.8,59,945,4.69,4.64,2.93
98,0.32,Ideal,D,SI1,62.7,54,589,4.37,4.4,2.75
99,0.71,Good,F,VS2,63.8,58,2777,5.61,5.64,3.59
100,0.4,Fair,G,SI1,59.9,67,960,4.81,4.77,2.87
101,0.42,Premium,G,VVS1,60.2,59,1179,4.82,4.84,2.91
102,1.54,Premium,J,VVS2,61.1,59,8652,7.45,7.4,4.54
103,0.74,Premium,G,VS2,60.2,60,2621,5.84,5.82,3.51
104,1,Ideal,G,VS1,62.2,56,6349,6.35,6.41,3.97
105,0.9,Very Good,D,SI2,59,61,3262,6.28,6.32,3.72
106,0.72,Ideal,G,VVS2,61,56,3295,5.8,5.84,3.55
107,0.51,Premium,E,SI1,61.5,58,1593,5.14,5.11,3.15
108,1.63,Ideal,F,I1,62,55.1,7100,7.5,7.57,4.68
109,1.01,Very Good,G,SI1,62.8,56,5049,6.35,6.43,4.01
110,0.79,Ideal,E,SI1,62.9,55,3075,5.93,5.86,3.71
111,0.72,Premium,G,SI1,60.8,58,2318,5.8,5.74,3.51
112,0.52,Ideal,G,VS2,61.2,56,1586,5.16,5.2,3.17
113,1.2,Very Good,F,VS2,61.1,58,8232,6.82,6.86,4.18
114,1.03,Premium,J,SI2,62.2,59,3149,6.42,6.4,3.99
115,1.03,Ideal,D,SI1,59.9,57,6460,6.61,6.68,3.98
116,0.43,Ideal,E,VS2,62.2,57,1048,4.84,4.8,3
117,0.42,Ideal,D,VS2,61.4,56,1031,4.8,4.84,2.96
118,1.05,Very Good,D,VS2,62.9,57,6373,6.39,6.51,4.06
119,0.54,Ideal,G,VS1,61.8,54,1754,5.22,5.24,3.23
120,0.53,Ideal,I,VS1,61.6,55,1263,5.21,5.25,3.22
121,1.29,Premium,H,VS2,60.7,61,7802,7.1,7.01,4.28
122,0.38,Very Good,E,VS1,61.5,58,1000,4.64,4.69,2.87
123,0.35,Ideal,F,VS2,62.1,56,906,4.57,4.54,2.83
124,1.13,Very Good,H,SI1,60.1,60,4959,6.73,6.77,4.06
125,1.03,Premium,F,VS2,62,58,6484,6.5,6.46,4.02
126,0.7,Very Good,I,SI1,62.7,56,1918,5.64,5.68,3.55
127,0.51,Very Good,D,VS2,63.1,58,1793,5.13,5.08,3.22
128,0.71,Very Good,F,SI1,63,56,2088,5.65,5.72,3.58
129,0.51,Very Good,E,SI2,58.3,63,1265,5.21,5.26,3.05
130,2.36,Ideal,I,SI2,60.8,54,11238,8.68,8.57,5.24
131,0.32,Premium,G,VVS2,61.7,59,730,4.37,4.41,2.71
132,0.9,Ideal,G,SI1,60.2,56,3894,6.24,6.29,3.77
133,1.5,Ideal,J,SI1,59.4,62,6745,7.38,7.35,4.38
134,0.41,Very Good,E,SI1,63.5,57,969,4.73,4.69,2.99
135,0.38,Premium,E,VVS1,61.9,58,1267,4.62,4.66,2.87
136,1.56,Ideal,F,VS1,61.7,56,17455,7.48,7.46,4.61
137,0.4,Premium,E,VS2,62.5,58,975,4.73,4.65,2.93
138,0.34,Ideal,D,IF,59.8,57,2287,4.57,4.59,2.74
139,1,Good,D,SI1,60.5,60,5546,6.37,6.42,3.87
140,1,Very Good,D,SI1,63.2,60,5851,6.31,6.35,4
141,1.01,Premium,F,VVS2,62,58,8688,6.45,6.36,3.97
142,0.7,Ideal,D,VS1,62.3,55,3840,5.64,5.68,3.53
143,0.51,Ideal,E,SI1,59.6,57,1546,5.24,5.2,3.11
144,1.2,Very Good,I,SI1,63.3,57,4704,6.7,6.66,4.23
145,1.38,Premium,G,SI2,58.3,59,5487,7.34,7.27,4.26
146,0.39,Very Good,J,VS1,63.1,56,790,4.7,4.62,2.94
147,0.8,Very Good,G,VS1,62.7,56,3673,5.9,5.94,3.71
148,0.51,Ideal,D,VVS2,62,55,2145,5.13,5.16,3.19
149,1.21,Ideal,D,VS1,61,57,10335,6.88,6.85,4.19
150,1.56,Ideal,G,VS1,61.3,56,16052,7.48,7.44,4.57
151,0.7,Ideal,H,SI1,61.9,57,2107,5.66,5.69,3.51
152,0.35,Ideal,F,VS2,61.9,54,906,4.54,4.5,2.8
153,0.7,Very Good,I,VVS1,58.8,61,2389,5.78,5.82,3.41
154,0.41,Ideal,F,VS2,62.7,56,1107,4.78,4.72,2.98
155,0.79,Ideal,D,SI1,61.2,56,3185,6.02,5.95,3.66
156,0.32,Good,I,SI1,63.1,56,432,4.36,4.39,2.76
157,1.02,Premium,F,SI2,63,58,4398,6.43,6.37,4.03
158,0.5,Very Good,F,VS1,59.9,61,1550,5.13,5.16,3.08
159,1.5,Good,J,VS2,63.6,58,7308,7.23,7.2,4.59
160,1.05,Ideal,H,SI2,60.6,57,3234,6.59,6.55,3.98
161,0.38,Ideal,E,VVS1,62.4,53.2,1245,4.62,4.66,2.9
162,1.04,Very Good,F,IF,63,55,10264,6.36,6.53,4.06
163,1.02,Very Good,E,VS2,62.9,56,6752,6.37,6.47,4.04
164,1.56,Ideal,I,VS2,61.8,56,10333,7.41,7.45,4.59
165,0.35,Premium,I,SI1,62.5,58,606,4.53,4.49,2.82
166,0.38,Very Good,D,VS1,58.2,58,995,4.77,4.81,2.79
167,0.31,Good,G,VVS2,63.3,57,707,4.28,4.31,2.72
168,1.5,Ideal,I,I1,61.3,57,5695,7.39,7.36,4.52
169,1.51,Very Good,G,SI2,63.2,55,8574,7.32,7.27,4.61
170,0.3,Very Good,E,SI1,62.1,60,526,4.27,4.29,2.66
171,1.04,Premium,D,SI2,58.2,59,4330,6.67,6.62,3.87
172,1.09,Very Good,I,VS2,62,56,4959,6.57,6.59,4.08
173,0.5,Very Good,F,SI2,62.9,57,1020,5.02,5.06,3.17
174,0.49,Premium,G,SI1,60.6,60,1026,5.1,5.06,3.08
175,0.26,Very Good,D,SI1,59.7,58,658,4.16,4.22,2.5
176,0.39,Ideal,F,VS1,62.2,56,1024,4.7,4.63,2.9
177,0.83,Very Good,I,VS2,62,55,2915,6.03,6.06,3.74
178,0.32,Ideal,G,VVS2,61.6,56,708,4.42,4.44,2.73
179,1.54,Premium,I,SI2,61.5,61,6278,7.41,7.31,4.53
180,1.02,Very Good,F,VVS2,59.4,59,8627,6.58,6.69,3.94
181,0.31,Ideal,D,VVS2,60.1,56,777,4.43,4.46,2.67
182,0.31,Ideal,G,VVS2,60.9,56,687,4.4,4.43,2.69
183,1.07,Premium,F,SI2,61.8,58,4366,6.51,6.57,4.04
184,0.62,Ideal,D,VS2,61.2,56,2243,5.49,5.52,3.37
185,0.9,Good,E,VS2,64,58,4203,6.07,6.02,3.87
186,0.32,Ideal,E,IF,61.1,56,1018,4.42,4.48,2.72
187,0.39,Premium,E,SI1,59.1,59,860,4.81,4.76,2.83
188,0.33,Ideal,F,IF,62.2,53,957,4.46,4.48,2.78
189,0.32,Ideal,D,VS2,61.5,56,972,4.42,4.39,2.71
190,0.3,Very Good,D,VS2,62.9,59,710,4.22,4.27,2.67
191,0.5,Good,J,VVS2,64.1,57,1105,5,4.95,3.19
192,0.71,Ideal,F,SI2,61.5,55,2668,5.78,5.75,3.54
193,0.3,Ideal,E,VS2,61.8,55,795,4.34,4.36,2.69
194,0.3,Good,G,VS1,63.6,55,605,4.27,4.31,2.73
195,1.11,Ideal,H,SI1,62.5,56,5395,6.65,6.63,4.15
196,0.51,Very Good,F,VS2,63.1,57,1574,5.1,5.08,3.21
197,0.99,Very Good,J,SI1,60.3,57,4002,6.44,6.49,3.9
198,0.26,Very Good,F,VVS1,58.7,58,597,4.24,4.25,2.49
199,1.42,Good,F,VS2,63.7,57,9542,7.08,6.99,4.48
200,1.3,Very Good,J,VS2,61.6,56,5832,7.02,7.07,4.34
201,1.5,Ideal,G,SI1,62,56,11079,7.29,7.33,4.53
202,1,Very Good,E,VVS2,63.5,55,8910,6.36,6.31,4.02
203,1.23,Ideal,H,VS1,60.6,57,7803,6.94,6.98,4.22
204,0.31,Good,D,SI1,63.5,56,571,4.29,4.31,2.73
205,0.3,Very Good,G,SI1,61,57,447,4.31,4.34,2.64
206,1.09,Premium,I,VS2,61.3,58,4659,6.63,6.58,4.05
207,0.5,Ideal,E,VS2,61.5,57,1746,5.14,5.11,3.15
208,0.44,Ideal,D,VS1,61.3,56,1235,4.87,4.92,3
209,0.59,Premium,G,SI1,60.5,59,1437,5.44,5.41,3.28
210,1.62,Premium,E,SI2,61.8,59,9526,7.55,7.52,4.66
211,1.01,Ideal,J,SI2,61.4,56,3997,6.44,6.47,3.97
212,1.01,Premium,G,SI1,61,58,4808,6.53,6.49,3.97
213,0.42,Ideal,E,VS2,62.1,56,1024,4.8,4.77,2.97
214,1.06,Good,H,SI1,57.2,60,4060,6.84,6.74,3.88
215,0.3,Ideal,G,IF,61.8,55,813,4.33,4.35,2.68
216,0.4,Ideal,E,SI1,62.2,55,737,4.71,4.75,2.94
217,0.39,Very Good,E,VS2,62.7,59,794,4.64,4.68,2.92
218,0.5,Fair,F,I1,68.4,54,613,4.94,4.82,3.35
219,0.4,Good,G,VVS2,61.4,64,974,4.65,4.7,2.87
220,0.41,Very Good,F,SI2,60.8,58,647,4.78,4.83,2.92
221,0.42,Ideal,E,VVS2,62.3,55,1216,4.76,4.81,2.98
222,1.27,Premium,I,SI2,61.4,59,5249,6.98,6.94,4.27
223,2.04,Ideal,J,SI1,59.1,59,12554,8.29,8.24,4.88
224,0.25,Very Good,I,VVS2,61.6,56,455,4.06,4.09,2.51
225,0.85,Ideal,E,VS2,59.3,57,3924,6.19,6.22,3.68
226,0.7,Ideal,D,VS2,61.3,57,2960,5.72,5.76,3.52
227,0.71,Good,H,SI1,58.4,62.1,2282,5.8,5.83,3.4
228,0.87,Very Good,J,SI1,63.1,60,2379,6.03,5.96,3.78
229,0.7,Premium,E,VVS1,61.7,59,3265,5.67,5.71,3.51
230,0.36,Very Good,H,SI2,61.2,55,475,4.59,4.62,2.81
231,0.33,Ideal,H,IF,61.6,55,820,4.44,4.47,2.74
232,0.71,Premium,D,SI1,61.4,58,2913,5.75,5.79,3.54
233,1.7,Very Good,H,VS2,61.9,60,12874,7.57,7.61,4.7
234,0.62,Premium,E,SI2,61.1,59,1579,5.53,5.5,3.37
235,0.98,Fair,G,I1,68,63,1749,6.13,6.02,4.13
236,0.3,Very Good,H,VS1,63.4,53,675,4.3,4.25,2.71
237,0.31,Ideal,H,VS2,61.9,55,628,4.38,4.35,2.7
238,1.39,Very Good,I,I1,62.6,57,3914,7.1,7.15,4.46
239,0.57,Ideal,G,VS2,61.8,57,1608,5.3,5.32,3.28
240,0.31,Ideal,H,VVS1,62.2,54,687,4.34,4.37,2.71
241,0.71,Very Good,E,VS2,63.8,58,2804,5.62,5.66,3.6
242,0.53,Ideal,G,SI1,60.7,56,1371,5.22,5.27,3.18
243,0.4,Ideal,E,VS1,62.1,55,898,4.75,4.79,2.96
244,1.25,Ideal,H,VVS2,60.6,57,8036,7,6.97,4.23
245,0.31,Premium,D,SI1,60,61,732,4.43,4.41,2.65
246,0.51,Ideal,F,VS2,61,57,1619,5.16,5.11,3.13
247,0.4,Very Good,I,VVS1,61.5,58,842,4.7,4.76,2.91
248,0.3,Very Good,G,VVS2,63.3,57,878,4.27,4.23,2.69
249,0.45,Fair,F,SI1,66.8,59,794,4.79,4.63,3.16
250,0.3,Ideal,E,VVS1,61.2,57,895,4.33,4.36,2.66
251,2.45,Ideal,J,VS2,60.4,56,18113,8.72,8.81,5.3
252,0.72,Ideal,H,VS1,60.7,55,3274,5.83,5.85,3.54
253,0.7,Premium,G,VVS2,61.8,58,2874,5.67,5.63,3.49
254,2.04,Very Good,J,VS2,63,58,13609,7.99,8.02,5.04
255,0.3,Premium,F,VS2,62.8,58,776,4.29,4.24,2.68
256,0.3,Ideal,I,VS2,62,55,438,4.3,4.35,2.68
257,0.25,Very Good,E,VVS2,63,57,575,4,4.06,2.54
258,0.7,Very Good,D,VS2,62.5,55,3052,5.65,5.71,3.55
259,1.02,Ideal,E,VS1,62.6,56,8545,6.45,6.42,4.03
260,1.01,Premium,H,VS1,62.7,58,5294,6.39,6.37,4
261,0.7,Ideal,D,SI1,62.5,56,2612,5.67,5.73,3.56
262,0.72,Ideal,E,VS2,62.1,57,3235,5.73,5.76,3.57
263,0.52,Ideal,D,VS2,61,57,1868,5.21,5.18,3.17
264,0.59,Premium,E,SI2,61.4,59,1229,5.4,5.32,3.29
265,1.05,Very Good,I,VS2,62.4,59,4975,6.48,6.51,4.05
266,0.31,Ideal,G,IF,61,57,891,4.4,4.42,2.69
267,0.4,Premium,F,SI2,62.6,60,631,4.65,4.68,2.92
268,0.77,Premium,J,VS2,62.1,62,1940,5.87,5.82,3.63
269,0.25,Ideal,F,VS2,62.9,55,535,4.01,4.05,2.53
270,0.94,Very Good,E,SI2,62,60,3963,6.19,6.22,3.85
271,0.9,Premium,F,SI2,62,61,3704,6.16,6.14,3.81
272,0.57,Premium,H,VVS1,61.6,58,2172,5.39,5.35,3.31
273,0.31,Premium,G,IF,61.4,59,988,4.39,4.34,2.68
274,0.72,Ideal,J,SI1,62.6,56,1966,5.67,5.74,3.57
275,0.71,Ideal,D,SI2,61.6,55,2767,5.74,5.76,3.54
276,0.71,Premium,F,SI2,62.2,57,2040,5.66,5.6,3.5
277,1,Very Good,G,VVS2,63.1,58,7589,6.37,6.33,4.01
278,0.9,Very Good,D,SI1,62.3,58,4497,6.14,6.16,3.83
279,0.34,Very Good,F,VVS2,59.6,60,724,4.54,4.59,2.72
280,0.31,Very Good,G,VVS2,63.3,57,907,4.31,4.28,2.72
281,0.31,Ideal,F,IF,62.1,54,914,4.36,4.4,2.72
282,0.52,Ideal,E,VS2,61.3,56,1621,5.17,5.21,3.18
283,0.3,Very Good,H,VS2,63.5,58,608,4.27,4.24,2.7
284,1.07,Very Good,D,VS1,59.9,55,9681,6.69,6.71,4.01
285,0.39,Ideal,F,VVS1,62.2,54,1124,4.71,4.74,2.94
286,0.9,Good,J,VS2,63.9,58,3024,6.15,6.08,3.91
287,1.01,Good,D,IF,63.2,59,15081,6.34,6.38,4.02
288,0.32,Premium,G,VS1,61,59,645,4.39,4.43,2.69
289,1.26,Ideal,F,VS2,61.4,57,9236,7.02,6.96,4.29
290,1.04,Premium,H,SI2,61.5,59,4368,6.54,6.51,4.01
291,0.45,Fair,F,VS1,66.9,54,945,4.85,4.75,3.21
292,1.03,Premium,E,SI2,61.4,58,4328,6.49,6.45,3.97
293,2.04,Ideal,I,SI1,60.2,56,16718,8.19,8.26,4.95
294,1.39,Ideal,J,VS2,60.3,57,6366,7.26,7.24,4.37
295,0.36,Ideal,E,VS1,62,55,828,4.58,4.6,2.85
296,0.75,Very Good,G,SI1,60.9,58,2545,5.84,5.88,3.57
297,0.72,Good,I,VS1,61.8,61,2048,5.67,5.72,3.53
298,0.55,Ideal,H,SI1,60.8,56,1584,5.3,5.33,3.23
299,1.55,Premium,D,VS2,61.5,58,16137,7.51,7.48,4.61
300,0.32,Ideal,H,VS2,60.9,56,523,4.42,4.44,2.7
301,1.01,Good,H,SI1,63.4,58,4559,6.34,6.38,4.03
302,0.77,Ideal,I,VS1,61.4,56,2635,5.86,5.9,3.61
303,0.37,Premium,G,VS2,61.2,60,649,4.58,4.63,2.82
304,0.55,Ideal,F,VS2,61.7,57,1819,5.29,5.24,3.25
305,0.5,Ideal,H,VS2,60.8,56,1446,5.17,5.19,3.14
306,0.27,Ideal,F,VS2,61.8,53,583,4.18,4.2,2.59
307,0.7,Premium,E,SI2,60.6,59,2307,5.76,5.73,3.48
308,0.5,Very Good,F,VS1,62.3,55,1710,5.06,5.09,3.16
309,1.02,Very Good,G,VVS1,63,58,7657,6.4,6.43,4.04
310,0.32,Premium,G,VS1,59.2,59,828,4.47,4.45,2.64
311,0.91,Premium,D,SI2,61,61,3943,6.24,6.16,3.78
312,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
313,0.59,Ideal,G,SI1,61.5,57,1437,5.36,5.4,3.31
314,0.4,Premium,G,VVS2,61.1,58,1050,4.76,4.74,2.9
315,0.6,Premium,H,SI1,60.1,61,1219,5.43,5.39,3.25
316,0.43,Very Good,D,SI2,63.1,59,858,4.81,4.8,3.03
317,1.2,Good,G,VS2,57.8,59,8032,7.06,7,4.06
318,0.7,Very Good,F,SI1,59.1,59,2278,5.76,5.91,3.45
319,0.26,Very Good,F,VVS2,59.9,59,597,4.12,4.2,2.49
320,0.43,Premium,G,VVS1,62.3,59,1264,4.83,4.77,2.99
321,0.51,Good,F,VS2,63.7,56,1574,5.05,5.03,3.21
322,1.21,Premium,H,SI1,60.5,59,6566,6.96,6.89,4.19
323,0.71,Premium,E,SI1,61.3,56,2817,5.78,5.73,3.53
324,0.41,Ideal,H,VS1,61.1,56,1269,4.83,4.86,2.96
325,0.97,Premium,F,SI1,59.9,59,4810,6.36,6.39,3.82
326,0.34,Premium,I,SI1,61.8,57,574,4.51,4.46,2.77
327,0.34,Ideal,J,VS1,61.9,55,413,4.5,4.54,2.8
328,0.42,Ideal,F,SI1,61.6,56,886,4.83,4.81,2.97
329,0.3,Ideal,H,VS1,61.3,56,526,4.31,4.33,2.65
330,1.03,Very Good,F,VS1,62.8,54.1,8089,6.39,6.48,4.05
331,0.31,Good,E,SI1,63.3,55,544,4.33,4.36,2.75
332,0.92,Ideal,D,SI1,62.3,56,5779,6.2,6.23,3.87
333,0.53,Very Good,G,VS1,63.1,56,1642,5.12,5.15,3.24
334,0.73,Premium,H,SI2,61.2,58,2102,5.84,5.8,3.56
335,0.24,Good,E,VVS1,63.8,56,499,3.95,3.98,2.53
336,1.5,Fair,J,VS2,64.5,59,5846,7.2,7.07,4.6
337,0.28,Ideal,D,VS2,61.2,57,487,4.2,4.23,2.58
338,0.4,Very Good,F,VS1,61.3,54,890,4.8,4.83,2.95
339,1.71,Ideal,H,SI1,62.2,56,12641,7.74,7.7,4.8
340,0.76,Ideal,H,SI1,61.7,56,2338,5.87,5.84,3.61
341,1.09,Ideal,J,SI1,61.4,55,4565,6.61,6.67,4.08
342,0.27,Very Good,E,VS1,61.9,59,470,4.16,4.21,2.59
343,1.6,Ideal,H,SI1,62.7,56,9548,7.51,7.39,4.67
344,0.58,Very Good,E,VS2,61.9,58,1656,5.31,5.36,3.3
345,1.06,Ideal,J,VS2,61.4,56,5459,6.55,6.6,4.04
346,0.75,Very Good,F,SI1,62.3,58,2573,5.8,5.86,3.63
347,0.7,Ideal,D,SI1,60.7,56,2872,5.72,5.75,3.48
348,0.33,Very Good,G,VS2,61.1,59,579,4.43,4.47,2.72
349,0.34,Very Good,G,VS2,59.6,62,556,4.54,4.56,2.71
350,0.32,Premium,H,VS2,61,60,648,4.41,4.35,2.67
351,1.12,Ideal,F,SI2,61.8,55,4140,6.69,6.66,4.13
352,0.62,Ideal,H,VVS2,62,56,2052,5.46,5.48,3.39
353,0.56,Very Good,E,VS1,62.7,60,1931,5.25,5.28,3.3
354,0.31,Ideal,I,VS1,61.9,54,489,4.34,4.38,2.7
355,0.51,Ideal,G,VVS2,60.1,56,1813,5.22,5.24,3.14
356,0.9,Fair,F,VS2,64.7,54,3931,6.09,6.03,3.92
357,1.09,Ideal,D,SI1,62.8,54,6259,6.6,6.62,4.15
358,1.74,Premium,H,SI2,59.9,59,10874,7.88,7.8,4.7
359,0.38,Very Good,F,SI2,60.1,60,644,4.7,4.75,2.84
360,0.56,Ideal,I,VVS1,61.1,55,1622,5.33,5.35,3.26
361,0.54,Very Good,H,SI2,60.7,55,1194,5.31,5.34,3.23
362,0.76,Premium,J,SI1,58.4,59,1904,6.01,5.97,3.51
363,1.2,Ideal,H,VS1,62.5,57,6814,6.81,6.73,4.23
364,0.4,Premium,E,SI1,62.6,59,945,4.71,4.68,2.94
365,0.31,Premium,F,VS2,61.4,55,802,4.34,4.32,2.66
366,0.85,Fair,I,SI1,65.8,65,2493,5.88,5.79,3.84
367,0.5,Premium,F,VS2,61.7,59,1654,5.09,5.05,3.13
368,0.7,Very Good,F,IF,61.5,58,3887,5.65,5.7,3.49
369,1.03,Ideal,D,VS1,61.7,57,10607,6.45,6.48,3.99
370,0.35,Very Good,H,VVS1,61.2,60,798,4.5,4.55,2.77
371,0.37,Premium,D,VS2,60.5,59,794,4.66,4.69,2.83
372,2,Fair,I,I1,66,60,5667,7.78,7.74,5.1
373,1.13,Ideal,H,VS2,62,57,5885,6.7,6.66,4.14
374,0.77,Very Good,D,SI1,62.1,58,3040,5.84,5.89,3.64
375,0.32,Ideal,F,VS2,61.5,56,645,4.4,4.42,2.71
